序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,,,,
183,STK-9-1-3,饮食评估结果,字符串,参考备注,"例:""a""","入院时是否有重点护理评估记录(STK-9-1)等于""是""(y)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-9-1-3选择代码表,,,,
184,STK-9-1-4,吞咽评估结果,字符串,参考备注,"例:""a""","入院时是否有重点护理评估记录(STK-9-1)等于""是""(y)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-9-1-4选择代码表,,,,
185,STK-9-1-5-1,压疮评估（Braden评分值）分值,数值,参考备注,例:10,"入院时是否有重点护理评估记录(STK-9-1)等于""是""(y)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,压疮评估分值应大于等于0,,,,,
186,STK-9-1-6,压疮评估结果选择,字符串,参考备注,"例:""a""","入院时是否有重点护理评估记录(STK-9-1)等于""是""(y)时可填写;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-9-1-6选择代码表,,,,
187,STK-9-1-7,预防压疮告知,字符串,参考备注,"例:""y""","压疮评估（Braden评分值）分值(STK-9-1-5-1)小于""18""(18)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-9-1-7选择代码表,,,,
188,STK-9-3-1,吸烟史,字符串,参考备注,"例:""y""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-9-3-1选择代码表,,,,,
189,STK-9-3-2,吸烟程度评估,字符串,参考备注,"例:""a""","吸烟史(STK-9-3-1)等于""近一年内有吸烟史，烟草使用状况""(y)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-9-3-2选择代码表,,,,
190,STK-9-3-3,接受戒烟的建议或者戒烟治疗,字符串,参考备注,"例:""a""","吸烟史(STK-9-3-1)等于""近一年内有吸烟史，烟草使用状况""(y)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-9-3-3选择代码表,,,,
191,STK-13-1-1,是否提供早期康复医疗服务,字符串,参考备注,"例:""y""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-13-1-1选择代码表,,,,,
192,STK-13-0,是否有功能障碍,字符串,参考备注,"例:""y""","是否提供早期康复医疗服务(STK-13-1-1)等于""是""(y)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-13-0选择代码表,,,,
193,STK-13-1,功能障碍评价,数组,参考备注,"例:[""a"",""b""]","是否有功能障碍(STK-13-0)等于""是,临床医师病历记录中认定有功能障碍""(y)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-13-1选择代码表,,,,
194,STK-13-2,康复治疗适宜性评估结果,数组,参考备注,"例:[""a"",""b""]","是否有功能障碍(STK-13-0)等于""是,临床医师病历记录中认定有功能障碍""(y)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-13-2选择代码表,,,,
195,STK-13-3,康复实施人员资质选择,数组,参考备注,"例:[""a"",""b""]","康复治疗适宜性评估结果(STK-13-2)等于""由康复医师评估适宜进行康复""(a)时必填;","康复治疗适宜性评估结果(STK-13-2)等于""由临床医师评估适宜进行康复""(b)时必填;","康复治疗适宜性评估结果(STK-13-2)等于""有临床医师下达康复诊疗的医嘱""(c)时必填;","康复治疗适宜性评估结果(STK-13-2)等于""无法确定或无记录""(UTD)时无需填写;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-13-3选择代码表,
196,STK-13-4-1,首次实施康复治疗时间,字符串,参考备注,"例:""1970-01-01""","康复治疗适宜性评估结果(STK-13-2)等于""由康复医师评估适宜进行康复""(a)时必填;","康复治疗适宜性评估结果(STK-13-2)等于""由临床医师评估适宜进行康复""(b)时必填;","康复治疗适宜性评估结果(STK-13-2)等于""有临床医师下达康复诊疗的医嘱""(c)时必填;","康复治疗适宜性评估结果(STK-13-2)等于""无法确定或无记录""(UTD)时无需填写;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
197,STK-13-5,选择未能进行康复原因,字符串,参考备注,"例:""a""","康复治疗适宜性评估结果(STK-13-2)等于""评估有不适宜进行康复原因""(d)时必填;","康复治疗适宜性评估结果(STK-13-2)等于""无法确定或无记录""(UTD)时无需填写;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-13-5选择代码表,,,
198,STK-10-1,血管功能评估时间,字符串,是,"例:""a""",见,STK-10-1选择代码表,,,,,,,
199,STK-10-2-2,血管功能评价（动脉粥样硬化病因检查）方法选择,数组,是,"例:[""a"",""b""]",见,STK-10-2-2选择代码表,,,,,,,
200,STK-10-2-3,血管功能评估其他方法,字符串,参考备注,"例:""填写文字说明""","血管功能评价（动脉粥样硬化病因检查）方法选择(STK-10-2-2)等于""其他血管功能评价""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,,,,,
201,STK-10-2-4,其他病因学检查方法选择,数组,是,"例:[""a"",""b""]",见,STK-10-2-4选择代码表,,,,,,,
202,STK-10-2-5,其他病因学检查,字符串,参考备注,"例:""填写文字说明""","其他病因学检查方法选择(STK-10-2-4)等于""其他病因学检查""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过30个字说明,,,,,,
203,STK-12-1-3,实施卒中健康教育有记录,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-12-1-3选择代码表,,,,,
204,STK-12-1-1,出院时Essen卒中风险评分,字符串,参考备注,"例:""y""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-12-1-1选择代码表,,,,,
205,STK-12-1-2-1,Essen卒中风险评分值,数值,参考备注,例:10,"出院时Essen卒中风险评分(STK-12-1-1)等于""是""(y)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
206,STK-12-2-1,主要风险因素(住院病历既往史记录)评估,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-12-2-1选择代码表,,,,,
207,STK-12-2-2,其他风险因素(住院病历既往史记录)评估,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-12-2-2选择代码表,,,,,
208,STK-12-4-1,是否有出院时mRS评分,字符串,参考备注,"例:""y""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-12-4-1选择代码表,,,,,
209,STK-12-4-2,出院时mRS评分,字符串,参考备注,"例:""a""","是否有出院时mRS评分(STK-12-4-1)等于""是""(y)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-12-4-2选择代码表,,,,
210,STK-12-4-4,发病的主要原因,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-12-4-4选择代码表,,,,,
211,STK-12-4-4-1,其他发病的主要原因,字符串,参考备注,"例:""填写文字说明""","发病的主要原因(STK-12-4-4)等于""其他""(oth)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
212,STK-12-3-1,交与患者“出院小结”的副本告知患者出院时风险因素,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-12-3-1选择代码表,,,,,
213,STK-12-3-2,出院带药,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-12-3-2选择代码表,,,,,
214,STK-12-3-5,告知何为风险因素与紧急情况,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-12-3-5选择代码表,,,,,
215,STK-12-3-3,告知发生紧急情况时求援救治途径,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-12-3-3选择代码表,,,,,
216,STK-12-3-4,出院时教育与随访,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-12-3-4选择代码表,,,,,
217,CM-4-3,离院方式选择,字符串,是,"例:""a""",见,CM-4-3选择代码表,,,,,,,
218,CM-4-5,非医嘱离院可能涉及因素,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""非医嘱离院""(d)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-5选择代码表,,,,,
219,CM-4-4-1,其他非医嘱离院因素填写,字符串,参考备注,"例:""填写文字说明""","非医嘱离院可能涉及因素(CM-4-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
220,CM-4-6,死亡可能涉及因素,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-6选择代码表,,,,,
221,CM-5-1,患者是否对服务的体验与评价,字符串,参考备注,"例:""y""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-1选择代码表,,,,,
222,CM-5-2-1,整体医院评级,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-1选择代码表,,,,
223,CM-5-2-2,患者推荐,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-2选择代码表,,,,
224,CM-5-2-3,病房、床单元和卫生间清洁度,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-3选择代码表,,,,
225,CM-5-2-5,病房与周边噪音,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-5选择代码表,,,,
226,CM-5-2-6,医生沟通,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-6选择代码表,,,,
227,CM-5-2-7,护士沟通,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-7选择代码表,,,,
228,CM-5-2-8,药师沟通,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-8选择代码表,,,,
229,CM-5-2-9,康复计划,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-9选择代码表,,,,
230,CM-5-2-10,出院时的知情告知,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-10选择代码表,,,,
231,CM-5-2-11,膳食评价,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-11选择代码表,,,,
232,CM-6-1,住院总费用,数值,是,例:10,住院总费用要大于0;,住院总费用要小于1000000;,住院总费用应大于等于各项费用之和,,,,,,
233,CM-6-2,住院总费用其中自付金额,数值,是,例:10,自付金额要,自付金额应≤住院总费用,,,,,,,
234,CM-6-3,一般医疗服务费,数值,是,例:10,一般医疗服务费要,,,,,,,,
235,CM-6-4,一般治疗操作费,数值,是,例:10,一般治疗操作费要,,,,,,,,
236,CM-6-5,护理费,数值,是,例:10,护理费要,,,,,,,,
237,CM-6-6,综合医疗服务类其他费用,数值,是,例:10,综合医疗服务类其他费用要≥0,,,,,,,,
238,CM-6-7,病理诊断费,数值,是,例:10,病理诊断费要≥0,,,,,,,,
239,CM-6-8,实验室诊断费,数值,是,例:10,实验室诊断费要≥0,,,,,,,,
240,CM-6-9,影像学诊断费,数值,是,例:10,影像学诊断费要≥0,,,,,,,,
241,CM-6-10,临床诊断项目费,数值,是,例:10,临床诊断项目费要≥0,,,,,,,,
242,CM-6-11,非手术治疗项目费,数值,是,例:10,非手术治疗项目费要≥0,,,,,,,,
243,CM-6-12,其中：临床物理治疗费,数值,是,例:10,临床物理治疗费要≥0,,,,,,,,
244,CM-6-13,手术治疗费,数值,是,例:10,手术治疗费要≥0,,,,,,,,
245,CM-6-14,其中：麻醉费,数值,是,例:10,麻醉费要≥0,,,,,,,,
246,CM-6-15,其中：手术费,数值,是,例:10,手术费要≥0,,,,,,,,
247,CM-6-16,康复费,数值,是,例:10,康复费要≥0,,,,,,,,
248,CM-6-17,中医治疗费,数值,是,例:10,中医治疗费要≥0,,,,,,,,
249,CM-6-18,西药费,数值,是,例:10,西药费要≥0,,,,,,,,
250,CM-6-19,其中：抗菌药物费,数值,是,例:10,抗菌药物费要≥0,,,,,,,,
251,CM-6-20,中成药费,数值,是,例:10,中成药费要≥0,,,,,,,,
252,CM-6-21,中草药费,数值,是,例:10,中草药费要≥0,,,,,,,,
253,CM-6-22,血费,数值,是,例:10,血费要≥0,,,,,,,,
254,CM-6-23,白蛋白类制品费,数值,是,例:10,白蛋白类制品费要≥0,,,,,,,,
255,CM-6-24,球蛋白类制品费,数值,是,例:10,球蛋白类制品费要≥0,,,,,,,,
256,CM-6-25,凝血因子类制品费,数值,是,例:10,凝血因子类制品费要≥0,,,,,,,,
257,CM-6-26,细胞因子类制品费,数值,是,例:10,细胞因子类制品费要≥0,,,,,,,,
258,CM-6-27,检查用一次性医用材料费,数值,是,例:10,检查用一次性医用材料费要≥0,,,,,,,,
259,CM-6-28,治疗用一次性医用材料费,数值,是,例:10,治疗用一次性医用材料费要≥0,,,,,,,,
260,CM-6-29,手术用一次性医用材料费,数值,是,例:10,手术用一次性医用材料费要≥0,,,,,,,,
,CM-6-30,其他费,数值,是,例:10,其他费要≥0,,,,,,,,
